TAESDHPI,AESDHPI,TAESEHPI,AESEHPI,TMATHHPI,MATHHPI,TBITCNTHPI,BITCNTHPI,TCRCHPI,CRCHPI,TDIJKHPI,DIJKHPI,TFFTHPI,FFTHPI,TGSMDHPI,GSMDHPI,TMXMHPI,MXMHPI,TQSORTHPI,QSORTHPI,TSHAHPI,SHAHPI,TSSEARCHHPI,SSEARCHHPI,TSUSANCHPI,SUSANCHPI,TSUSANEHPI,SUSANEHPI,TSUSANSHPI,SUSANSHPI
36970293,0.25893,2302095,0.7,9581124,0.5,28485858,0.26269,9450363,0.60229,20246913,0.37807,4318620,0.5,8350167,0.36539,30405189,0.15105,7496463,0.65416,3507501,0.46142,7254981,0.14558,217434,0.45,1107711,0.61327,7567605,0.48162
42922173,0.35908,10027014,0.96432,23858121,0.58731,35869095,0.39856,11028012,0.84553,34573008,0.36307,18632691,0.50876,11436828,0.37336,31938750,0.28589,16135707,0.4367,8058585,0.4127,7425321,0.3192,270540,0.7,1162821,0.7,9507477,0.65158
43994313,0.40664,20414748,0.62725,23861628,0.70479,40031403,0.39402,38572491,0.27845,34993347,0.44013,26619633,0.42738,14378199,0.3928,36199254,0.3202,24141687,0.41171,10178817,0.542,7973415,0.49624,1338672,0.6,1341678,0.5,14756454,0.52443
46313442,0.41518,39305955,0.39103,63421089,0.32253,45996309,0.3693,39376596,0.28615,41501838,0.42068,45744306,0.29791,14978898,0.54401,40892121,0.31525,28497882,0.39041,15666270,0.39561,8875215,0.5128,2955900,0.61951,1361217,0.65834,26882658,0.34293
47425161,0.45875,39727797,0.46113,64518780,0.36263,47337987,0.41647,39893127,0.33224,48105519,0.404,53548884,0.28088,15736410,0.5827,41075487,0.33925,30335550,0.43163,16294524,0.44597,9100164,0.55852,7271013,0.30122,1482960,0.75,27590571,0.38133
47836983,0.48639,43863051,0.45593,65643525,0.41917,57314400,0.36921,44323971,0.317,58644054,0.36092,63329406,0.2684,15808053,0.72771,41490816,0.37156,34071006,0.41414,22024461,0.42992,9844650,0.57004,7386744,0.31765,5060100,0.73204,37300452,0.39043
52168629,0.48095,47572455,0.4417,69886995,0.42986,64459662,0.34692,48792390,0.31391,59424612,0.39593,75491181,0.24411,15847131,0.76747,43338504,0.3853,36068994,0.41188,26098092,0.38871,12189330,0.48501,7389750,0.34457,5205891,0.75899,39796434,0.42193
54116517,0.49959,48907119,0.44266,72372957,0.46716,69452127,0.35338,51119535,0.31657,62344440,0.42076,82553277,0.24037,17296023,0.7525,44826474,0.40736,37807965,0.40498,27120633,0.4084,13728903,0.4873,7508988,0.38459,7487445,0.56897,44340003,0.42387
55859496,0.5039,63126501,0.35691,72633978,0.50748,72627966,0.35827,53695176,0.33236,62504760,0.46305,91931496,0.22945,19630182,0.76314,45498816,0.41475,39561465,0.4016,27142176,0.43931,14913267,0.48099,7747464,0.38493,8124216,0.5658,58054377,0.34728
61178613,0.48495,64268280,0.36828,75101403,0.54063,72889488,0.375,63853953,0.2865,78105900,0.39763,107159391,0.22338,22510932,0.68321,55324428,0.35447,39960261,0.42767,27433257,0.45532,15024489,0.51188,8272011,0.37875,8330628,0.5798,59462688,0.35596
61856967,0.50745,65900037,0.37361,94973568,0.48015,81486147,0.36652,66973680,0.28013,80702583,0.41765,111033123,0.22699,24468339,0.65208,56186148,0.36079,40747332,0.4332,28041471,0.46598,15830598,0.55758,8347161,0.39802,10922802,0.50007,60039339,0.36219
62477706,0.5226,67805841,0.38228,101936967,0.48574,87747645,0.36404,71100417,0.27707,81687549,0.43672,113704455,0.23434,24643689,0.66751,56890053,0.38184,41192220,0.44434,28541469,0.47635,16332099,0.63,8654775,0.39846,11889732,0.48693,61274805,0.37989
62992734,0.57232,72013239,0.37547,104468019,0.49081,91289214,0.38623,71360436,0.28556,90325791,0.42224,114860763,0.24778,25158216,0.68243,57490752,0.39151,44733789,0.4397,28898181,0.49059,17518467,0.61447,9962385,0.35774,15518475,0.40031,61352460,0.39008
63309366,0.58356,73442091,0.38055,116011059,0.46721,92671473,0.40644,71917047,0.29501,100416933,0.39991,117011556,0.25253,31902678,0.55127,60628515,0.39285,45937191,0.44708,29573529,0.49225,18374175,0.67495,12265983,0.29542,15835107,0.42807,62255763,0.39994
63751248,0.59598,73822851,0.39312,126652299,0.4473,93300228,0.40949,75437574,0.29605,102871833,0.418,118726479,0.25887,35874606,0.50591,60746250,0.40854,49067439,0.43438,30056994,0.49995,20210841,0.66324,13695336,0.27694,15946830,0.43328,63013275,0.41194
64175595,0.61063,74356917,0.40617,127785561,0.46442,100932963,0.40141,77353899,0.30614,104544171,0.42534,121042101,0.26465,38168685,0.49697,63976698,0.40226,50587974,0.43355,31202781,0.49666,21986886,0.69184,13729905,0.28933,15957351,0.44208,65797332,0.40107
65171583,0.61662,78061311,0.40653,132947865,0.47055,115824687,0.37314,78457602,0.31547,112102758,0.41789,122651313,0.2705,40209258,0.49246,64735713,0.42646,50657112,0.4452,31350576,0.50911,23046501,0.68557,14753949,0.27704,16438812,0.45601,66499734,0.4121
