TAESDHPI,AESDHPI,TAESEHPI,AESEHPI,TCRCHPI,CRCHPI,TDIJKHPI,DIJKHPI,TFFTHPI,FFTHPI,TMXMHPI,MXMHPI,TQSORTHPI,QSORTHPI,TSSEARCHHPI,SSEARCHHPI,TSUSANCHPI,SUSANCHPI,TSUSANEHPI,SUSANEHPI,TSUSANSHPI,SUSANSHPI
36970293,0.25893,2302095,0.7,9450363,0.60229,20246913,0.37807,4318620,0.5,30405189,0.15105,7493958,0.48946,7254981,0.14558,217434,0.45,1107711,0.61327,7567605,0.48162
42922173,0.35908,10027014,0.96432,11028012,0.84553,34573008,0.36307,18632691,0.50876,31938750,0.28589,8268504,0.48946,7425321,0.3192,270540,0.7,1162821,0.7,9507477,0.65158
43994313,0.40664,20414748,0.62725,38572491,0.27845,34993347,0.44013,26619633,0.42738,36199254,0.3202,31675725,0.48946,7973415,0.49624,1338672,0.6,1341678,0.5,14756454,0.52443
46313442,0.41518,39305955,0.39103,39376596,0.28615,41501838,0.42068,45744306,0.29791,40892121,0.31525,31730334,0.57561,8875215,0.5128,2955900,0.61951,1361217,0.65834,26882658,0.34293
47425161,0.45875,39727797,0.46113,39893127,0.33224,48105519,0.404,53548884,0.28088,41075487,0.33925,33134637,0.58615,9100164,0.55852,7271013,0.30122,1482960,0.75,27590571,0.38133
47836983,0.48639,43863051,0.45593,44323971,0.317,58644054,0.36092,63329406,0.2684,41490816,0.37156,38378604,0.56141,9844650,0.57004,7386744,0.31765,5060100,0.73204,37300452,0.39043
52168629,0.48095,47572455,0.4417,48792390,0.31391,59424612,0.39593,75491181,0.24411,43338504,0.3853,64150545,0.35638,12189330,0.48501,7389750,0.34457,5205891,0.75899,39796434,0.42193
54116517,0.49959,48907119,0.44266,51119535,0.31657,62344440,0.42076,82553277,0.24037,44826474,0.40736,66112461,0.37062,13728903,0.4873,7508988,0.38459,7487445,0.56897,44340003,0.42387
55859496,0.5039,63126501,0.35691,53695176,0.33236,62504760,0.46305,91931496,0.22945,45498816,0.41475,66920574,0.41216,14913267,0.48099,7747464,0.38493,8124216,0.5658,58054377,0.34728
61178613,0.48495,64268280,0.36828,63853953,0.2865,78105900,0.39763,107159391,0.22338,55324428,0.35447,71519754,0.40836,15024489,0.51188,8272011,0.37875,8330628,0.5798,59462688,0.35596
61856967,0.50745,65900037,0.37361,66973680,0.28013,80702583,0.41765,111033123,0.22699,56186148,0.36079,83698563,0.36557,15830598,0.55758,8347161,0.39802,10922802,0.50007,60039339,0.36219
62477706,0.5226,67805841,0.38228,71100417,0.27707,81687549,0.43672,113704455,0.23434,56890053,0.38184,85254669,0.38281,16332099,0.63,8654775,0.39846,11889732,0.48693,61274805,0.37989
62992734,0.57232,72013239,0.37547,71360436,0.28556,90325791,0.42224,114860763,0.24778,57490752,0.39151,87443538,0.40337,17518467,0.61447,9962385,0.35774,15518475,0.40031,61352460,0.39008
63309366,0.58356,73442091,0.38055,71917047,0.29501,100416933,0.39991,117011556,0.25253,60628515,0.39285,96601818,0.38973,18374175,0.67495,12265983,0.29542,15835107,0.42807,62255763,0.39994
63751248,0.59598,73822851,0.39312,75437574,0.29605,102871833,0.418,118726479,0.25887,60746250,0.40854,102857304,0.38093,20210841,0.66324,13695336,0.27694,15946830,0.43328,63013275,0.41194
64175595,0.61063,74356917,0.40617,77353899,0.30614,104544171,0.42534,121042101,0.26465,63976698,0.40226,104178441,0.40158,21986886,0.69184,13729905,0.28933,15957351,0.44208,65797332,0.40107
65171583,0.61662,78061311,0.40653,78457602,0.31547,112102758,0.41789,122651313,0.2705,64735713,0.42646,106827228,0.41147,23046501,0.68557,14753949,0.27704,16438812,0.45601,66499734,0.4121
66270276,0.63165,79176036,0.41051,82351875,0.3101,113111772,0.42447,125560620,0.27546,65796831,0.43302,107669409,0.4162,30421221,0.55799,14907756,0.27899,16469373,0.49703,66660054,0.41771
71738190,0.60235,81824322,0.41073,82731132,0.32255,113358264,0.44103,129788058,0.27634,66383001,0.44496,116875284,0.39339,34298460,0.51127,14935311,0.29737,17113659,0.49852,68855436,0.4119
72888987,0.60375,81998670,0.42429,85122405,0.32565,122385783,0.42473,131202381,0.28174,68812350,0.44031,123749505,0.3839,36785424,0.5055,15358155,0.2988,17629689,0.49889,69289302,0.41878
76008213,0.58825,83089848,0.42846,89711565,0.31552,122604219,0.4406,132340152,0.29082,71194104,0.44017,129340665,0.37814,36903660,0.51351,15584106,0.31146,17629689,0.51226,69313851,0.4248
76177551,0.6088,83741148,0.43936,90152946,0.32185,124002009,0.45473,133307583,0.30172,73623954,0.43332,130373727,0.38527,37076505,0.52652,15588615,0.332,19335093,0.47603,72520251,0.42593
