TQAESD,QAESD,TQAESE,QAESE,TQMATH,QMATH,TQBITCNT,QBITCNT,TQCRC,QCRC,TQDIJK,QDIJK,TQFFT,QFFT,TQGSMD,QGSMD,TQMXM,QMXM,TQQSORT,QQSORT,TQSHA,QSHA,TQSSEARCH,QSSEARCH,TQSUSANC,QSUSANC,TQSUSANE,QSUSANE,TQSUSANS,QSUSANS
36973299,0.42231,35846049,0.39133,44106537,0.36487,32853075,0.37709,29571024,0.36105,35856570,0.38848,25687272,0.37861,13719885,0.3629,27928245,0.38728,20499918,0.37304,15404247,0.39013,7374219,0.38371,1891275,0.48382,5663805,0.41248,17497926,0.38782
9547557,0.53204,9258480,0.54787,15987411,0.46062,11223903,0.40593,7075623,0.32371,10335129,0.44572,16751436,0.32665,6717408,0.38925,5915808,0.43922,11364684,0.40867,10632222,0.35894,3055098,0.3302,3312612,0.39562,2498988,0.27869,20790999,0.46326
5218917,0.56539,4791564,0.53382,15719376,0.44374,11206869,0.40659,7070613,0.32374,10635729,0.44722,13092633,0.30728,6222921,0.36001,5452383,0.36918,4122729,0.49792,1964421,0.69358,5261001,0.38873,2180352,0.24509,1743981,0.24725,8878722,0.30982
4814109,0.56133,4531545,0.5332,14977896,0.45285,11174805,0.40639,7070112,0.32377,10445349,0.44725,12705360,0.30292,12334119,0.34834,5416812,0.39727,4069122,0.50347,1644282,0.68686,1314123,0.46168,363726,0.2628,3935856,0.32711,7712394,0.31218
4903788,0.55895,4628238,0.53506,14509962,0.4702,11129715,0.40725,7076124,0.32362,10391241,0.44954,12414780,0.29825,3397281,0.50826,5290560,0.371,4028541,0.50149,1644282,0.68371,4530543,0.36518,672342,0.4198,1993980,0.46069,6652278,0.30707
5050080,0.56517,4723428,0.53699,15202344,0.44379,11279013,0.40565,7119711,0.32348,10169799,0.44646,12320592,0.29899,3573633,0.50591,5495970,0.37017,4001988,0.50149,1750995,0.70024,4532547,0.66952,1203402,0.18354,655308,0.43462,6431337,0.30746
4956894,0.56575,4654290,0.53285,14651244,0.46556,11229915,0.40638,7122216,0.32338,10407774,0.44622,12211374,0.29903,2218428,0.60076,5291061,0.41695,3996978,0.49887,1748490,0.70139,8159286,0.47163,898794,0.33264,1133262,0.41434,5896269,0.30294
4810602,0.56187,4594671,0.53215,15080100,0.45281,11201859,0.40664,7126725,0.32347,10522002,0.44728,12304059,0.30271,1468431,0.62032,5364708,0.37,4009002,0.5004,1694883,0.70062,2810610,0.48821,2352195,0.291,3440367,0.26181,5565108,0.30251
4856193,0.56147,4649280,0.53282,14716875,0.45849,11179815,0.40678,7120212,0.32353,10303566,0.44628,12445341,0.29671,2263518,0.5972,5456391,0.38706,4093170,0.50196,1748991,0.69557,1308111,0.58844,1820133,0.41425,4699380,0.29773,5384247,0.30005
5010000,0.56598,4727436,0.53659,14531004,0.4655,11129715,0.40733,7076124,0.32372,10216392,0.44697,12410772,0.29886,2092677,0.55503,5247975,0.43515,4099683,0.49491,1695885,0.69412,897792,0.52012,826149,0.53233,1930854,0.47162,5402283,0.30049
