TAESD32,AESD32,TAESD64,AESD64,TAESE32,AESE32,TAESE64,AESE64,TCRC32,CRC32,TCRC64,CRC64,TDIJK32,DIJK32,TDIJK64,DIJK64,TFFT32,FFT32,TFFT64,FFT64,TQSORT32,QSORT32,TQSORT64,QSORT64,TSSEARCH32,SSEARCH32,TSSEARCH64,SSEARCH64,TMXM32,MXM32,TMXM64,MXM64,TSUSANC32,SUSANC32,TSUSANC64,SUSANC64,TSUSANE32,SUSANE32,TSUSANE64,SUSANE64,TSUSANS32,SUSANS32,TSUSANS64,SUSANS64
14862666,0.25377,6614703,0.51749,12229500,0.24517,10513986,0.2906,19118661,0.18949,22186785,0.12614,29044974,0.21495,8173314,0.45831,22740390,0.32433,1802598,0.5,10737933,0.46587,5122725,0.30094,1461417,0.5388,1096188,0.3656,5006994,0.75185,7157787,0.41947,756510,0.33925,395289,0.1559,64128,0.6405,966429,0.21629,6137250,0.36962,939876,0.22287
32197266,0.256,13039527,0.41079,14139500,0.50693,17780991,0.31774,20426772,0.26025,25029459,0.1798,33544956,0.28938,29511906,0.20713,23032974,0.43105,4133751,0.95231,22450812,0.35465,18514455,0.14939,5279037,0.30801,6751977,0.14737,5747472,0.75185,7808586,0.51097,1025547,0.4185,1039074,0.19038,1582659,0.65982,1074645,0.3805,10612182,0.4624,1669833,0.22287
32522916,0.29811,35655669,0.20923,30716000,0.376,33685737,0.22314,21121659,0.35998,25672242,0.22635,34046457,0.32504,30405690,0.22261,23460828,0.50723,19702827,0.27182,23474856,0.42926,22588587,0.17919,6716907,0.29926,6924321,0.18961,10945347,0.78437,10833624,0.41101,1170837,0.78,3649785,0.12012,4357698,0.39717,1105206,0.58387,12127707,0.65059,35229819,0.22287
33044457,0.41024,36132120,0.26077,36211000,0.39305,34689240,0.24901,23833572,0.35381,28815015,0.22657,36728811,0.35511,33239847,0.22826,24402207,0.58416,21272961,0.29379,25149699,0.47754,23810526,0.21817,9674310,0.26951,7939347,0.20296,20881179,0.4444,15056052,0.36681,1305105,0.65,4813608,0.11468,5325630,0.41017,1203903,0.85864,29132148,0.32739,35377614,0.23564
33445257,0.4587,41882598,0.25817,41158500,0.37476,35579016,0.26014,24259923,0.38113,31187250,0.221,37227807,0.3763,40029900,0.21111,38869083,0.40659,22631172,0.34669,28104096,0.47317,23847099,0.23031,11357169,0.25108,8161791,0.22849,24192789,0.46065,21558531,0.28939,2882754,0.65027,4885251,0.1344,5395770,0.4629,6781536,0.18544,31377129,0.33537,35824506,0.25638
34463790,0.47876,46035888,0.25431,42509000,0.38616,36653160,0.26508,32015403,0.3092,32249871,0.22634,40153647,0.42289,43352532,0.21368,46299915,0.36247,29746374,0.29903,32197767,0.45273,25522443,0.22396,11747949,0.27779,10165290,0.23412,27754899,0.43892,22071555,0.29285,4574631,0.44173,5857692,0.12793,6051078,0.46493,7151775,0.20769,31675725,0.3725,36635124,0.261
35372103,0.50151,46657128,0.26438,44375000,0.40285,38146140,0.26696,32549970,0.31299,33803472,0.22649,40161663,0.48336,45564948,0.21388,49063431,0.36209,30744867,0.33502,33426219,0.47892,26934762,0.22559,12051555,0.30184,10909275,0.25169,27890169,0.47354,22075563,0.3337,5384247,0.39309,7062096,0.12899,6056589,0.55974,7315602,0.21902,31982337,0.3767,37487325,0.26294
36333021,0.51686,46713240,0.27626,44508500,0.41585,38430708,0.27356,32891151,0.32539,37664178,0.21649,49388580,0.41474,52564920,0.19839,50165130,0.36455,38107062,0.32394,33493854,0.50758,26938770,0.234,12348648,0.34276,11695344,0.28666,30654687,0.46663,22398708,0.35505,5434848,0.42247,7072116,0.14053,6228933,0.61305,8450367,0.21208,32839047,0.39893,40461762,0.25188
36813480,0.53758,49547898,0.27708,45942500,0.42484,39177198,0.27825,33359085,0.32621,39369582,0.21948,54986754,0.4035,58182132,0.19371,56032842,0.33716,44262348,0.30671,38637621,0.47425,27386163,0.24257,12512976,0.39166,11808069,0.30366,30795468,0.50549,23423253,0.35528,5768013,0.40368,7149771,0.15074,6400776,0.62538,8658783,0.2448,34088040,0.39072,49294893,0.21681
37048449,0.55935,51033363,0.27954,48989500,0.42244,41623581,0.27157,35708274,0.33282,39884109,0.22247,62823897,0.38153,59347959,0.20163,74408019,0.26441,51738771,0.29853,39685713,0.48882,27743376,0.24847,14427798,0.36099,11951856,0.38269,32247867,0.56987,25744887,0.35966,6094665,0.39247,7646763,0.16433,7141755,0.58746,9973908,0.23648,37528407,0.36608,49565934,0.22499
46608030,0.46741,52319430,0.2861,52276000,0.41691,42188208,0.27614,36426708,0.33885,42906141,0.22169,62912574,0.40201,59745753,0.20609,75291282,0.26771,52280853,0.30953,40335510,0.5237,29021427,0.24581,15342624,0.37309,12199851,0.45028,32975319,0.58055,27068529,0.36089,6113202,0.41038,7736943,0.17397,7142757,0.62433,11781015,0.21585,38771388,0.35959,49933668,0.23037
48306420,0.46207,53527341,0.29092,52723500,0.43006,42719268,0.27979,40912662,0.31243,43462752,0.22524,63153054,0.41122,62323398,0.2035,76755204,0.27067,54378540,0.31728,43056942,0.52881,29603088,0.24682,16176789,0.37915,13376199,0.44118,37848546,0.54035,32459790,0.32418,6126228,0.41693,9418800,0.16281,7142757,0.6351,11814081,0.22902,39197739,0.36333,52360512,0.22442
50686671,0.46018,53950686,0.30273,53268000,0.44615,43666659,0.28169,42078990,0.32964,47760831,0.21484,64346937,0.42183,64382508,0.20719,82916001,0.2592,54621525,0.33461,43206240,0.56254,30156192,0.25287,16821576,0.40693,36543441,0.19253,39967776,0.53424,34564491,0.32124,6816606,0.39255,9886734,0.17275,8170308,0.62086,11839131,0.24373,41702739,0.35582,53389065,0.22268
50921640,0.48142,57093459,0.30144,53318000,0.46596,44837496,0.28104,46681677,0.30108,50768835,0.21372,66542820,0.4286,64749741,0.2129,84444051,0.26162,56655084,0.34755,46032882,0.55862,32320011,0.24437,20523966,0.35968,37893636,0.19172,40798434,0.56847,38418684,0.30603,7174821,0.38081,10671300,0.16926,8385738,0.62643,12525000,0.25921,43266360,0.34791,53922630,0.22349
