TQSORT_ITER,PVFQSORT_ITER,TQSORT,PVFQSORT
10743945,0.90817,31194264,0.21395
27423738,0.48756,31701276,0.31793
33433734,0.48599,33574515,0.34183
44323971,0.41627,34582026,0.4339
51261318,0.3921,39866574,0.41141
53920626,0.4163,42841512,0.43033
73187082,0.34821,59244753,0.34392
75231663,0.3721,72121956,0.3129
77856903,0.41066,75227154,0.32111
83529726,0.40716,79071828,0.33421
84342849,0.45138,84090846,0.33408
87441033,0.46194,85664487,0.35779
90225090,0.47667,90718074,0.36434
92205042,0.48873,91452039,0.37655
123140289,0.38749,95411943,0.38182
126367731,0.39189,99783669,0.39411
127038570,0.40297,105106293,0.38932
131452881,0.41069,109441947,0.38523
134601165,0.41719,110338236,0.39728
138811569,0.4251,116264064,0.3897
139014975,0.44235,117946923,0.4049
141779493,0.45615,121652319,0.40588
147669750,0.45793,123476961,0.41718
147984879,0.47046,130223427,0.41134
148671249,0.48279,140498436,0.38841
152799990,0.48587,143795517,0.39251
156577530,0.48358,149858118,0.38919
163263375,0.47587,154486857,0.38555
165314970,0.48262,154536957,0.39648
166735806,0.48563,160881120,0.39543
177545883,0.47392,162645141,0.40092
177595983,0.49044,171729774,0.39248
177614520,0.50482,171752319,0.40445
187986222,0.48488,175111524,0.40402
194344413,0.47905,175260822,0.41752
197541795,0.48467,181449675,0.41427
200959116,0.49252,181697670,0.42693
203990166,0.49841,183344457,0.44053
223698003,0.46589,188432112,0.43766
233577723,0.45833,198008226,0.42481
242923878,0.45337,204173532,0.42344
252037569,0.45178,214968078,0.40663
252722937,0.45833,216061260,0.41004
254461908,0.45997,216969573,0.41554
260746452,0.45789,219874872,0.41496
263922291,0.46005,224386377,0.41686
270723867,0.46183,228482553,0.41941
270752925,0.47297,231586248,0.42047
279984351,0.46311,232706985,0.42373
282255885,0.4704,235659879,0.42708
287727306,0.46986,239198442,0.42984
289157160,0.47603,240050643,0.43417
295247817,0.47404,240331203,0.43948
296480277,0.48389,242101737,0.44004
316348434,0.45981,243092214,0.44656
320324370,0.46113,243264558,0.45162
327333861,0.46003,248174859,0.45028
333483135,0.4564,250858716,0.45414
340548738,0.45267,255982944,0.45343
362403861,0.43201,256327632,0.45982
364087722,0.43774,257714400,0.46691
368918865,0.43838,258296061,0.47003
374810124,0.43518,259179324,0.47737
376448394,0.43903,261300558,0.47814
381997470,0.44102,261655767,0.48646
382277028,0.44942,262399752,0.49441
384066600,0.45357,264675294,0.49341
392877186,0.44747,272869650,0.48508
395462346,0.44965,275849097,0.48417
395762445,0.45437,280454289,0.48116
396719355,0.4571,282878628,0.48252
401244888,0.45775,284027922,0.48777
401385168,0.46172,289885614,0.48493
401417733,0.46635,290538918,0.49145
409687239,0.46116,294917157,0.48889
419481789,0.45905,304434153,0.47855
420150123,0.46526,304697679,0.48141
421548915,0.46913,306007293,0.48412
422115045,0.47424,306772320,0.48668
429651588,0.47046,307280835,0.49208
430221726,0.47741,309700665,0.49523
436661079,0.4772,311409576,0.50047
439731207,0.479,312700653,0.50462
443891010,0.47972,314593431,0.50782
446567352,0.47929,316197633,0.51129
448046304,0.48141,318633495,0.51533
449612430,0.48544,319540305,0.51868
456016212,0.48643,325088880,0.51488
466104849,0.48231,329871927,0.51339
470560242,0.48209,332431035,0.51857
470625873,0.48654,336361881,0.51746
